FRED Graph Observations,
Federal Reserve Economic Data,
https://research.stlouisfed.org/fred2/series/WGS10YR#,
Help: https://research.stlouisfed.org/fred2/help-faq,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
WGS10YR,"10-Year Treasury Constant Maturity Rate, Percent, Monthly, Not Seasonally Adjusted"
,
Frequency: Monthly,
observation_date,WGS10YR
1962-01-01,4.08
1962-02-01,4.06
1962-03-01,3.94
1962-04-01,3.84
1962-05-01,3.87
1962-06-01,3.91
1962-07-01,4.01
1962-08-01,3.98
1962-09-01,3.98
1962-10-01,3.93
1962-11-01,3.92
1962-12-01,3.86
1963-01-01,3.83
1963-02-01,3.91
1963-03-01,3.93
1963-04-01,3.97
1963-05-01,3.93
1963-06-01,3.99
1963-07-01,4.03
1963-08-01,4.00
1963-09-01,4.08
1963-10-01,4.10
1963-11-01,4.12
1963-12-01,4.13
1964-01-01,4.16
1964-02-01,4.15
1964-03-01,4.22
1964-04-01,4.23
1964-05-01,4.20
1964-06-01,4.17
1964-07-01,4.18
1964-08-01,4.19
1964-09-01,4.21
1964-10-01,4.19
1964-11-01,4.15
1964-12-01,4.18
1965-01-01,4.19
1965-02-01,4.21
1965-03-01,4.21
1965-04-01,4.20
1965-05-01,4.21
1965-06-01,4.22
1965-07-01,4.21
1965-08-01,4.25
1965-09-01,4.28
1965-10-01,4.35
1965-11-01,4.45
1965-12-01,4.61
1966-01-01,4.61
1966-02-01,4.82
1966-03-01,4.91
1966-04-01,4.75
1966-05-01,4.78
1966-06-01,4.80
1966-07-01,5.00
1966-08-01,5.19
1966-09-01,5.22
1966-10-01,5.02
1966-11-01,5.15
1966-12-01,4.87
1967-01-01,4.59
1967-02-01,4.61
1967-03-01,4.55
1967-04-01,4.59
1967-05-01,4.85
1967-06-01,5.00
1967-07-01,5.16
1967-08-01,5.27
1967-09-01,5.29
1967-10-01,5.47
1967-11-01,5.75
1967-12-01,5.70
1968-01-01,5.53
1968-02-01,5.56
1968-03-01,5.71
1968-04-01,5.62
1968-05-01,5.86
1968-06-01,5.72
1968-07-01,5.51
1968-08-01,5.42
1968-09-01,5.46
1968-10-01,5.57
1968-11-01,5.68
1968-12-01,6.03
1969-01-01,6.06
1969-02-01,6.19
1969-03-01,6.30
1969-04-01,6.18
1969-05-01,6.32
1969-06-01,6.57
1969-07-01,6.72
1969-08-01,6.69
1969-09-01,7.12
1969-10-01,7.12
1969-11-01,7.14
1969-12-01,7.62
1970-01-01,7.82
1970-02-01,7.23
1970-03-01,7.07
1970-04-01,7.28
1970-05-01,7.89
1970-06-01,7.86
1970-07-01,7.49
1970-08-01,7.53
1970-09-01,7.42
1970-10-01,7.32
1970-11-01,6.87
1970-12-01,6.38
1971-01-01,6.30
1971-02-01,6.11
1971-03-01,5.73
1971-04-01,5.79
1971-05-01,6.40
1971-06-01,6.49
1971-07-01,6.72
1971-08-01,6.61
1971-09-01,6.16
1971-10-01,5.95
1971-11-01,5.80
1971-12-01,5.93
1972-01-01,5.94
1972-02-01,6.09
1972-03-01,6.07
1972-04-01,6.19
1972-05-01,6.13
1972-06-01,6.10
1972-07-01,6.11
1972-08-01,6.17
1972-09-01,6.52
1972-10-01,6.48
1972-11-01,6.29
1972-12-01,6.35
1973-01-01,6.45
1973-02-01,6.62
1973-03-01,6.70
1973-04-01,6.67
1973-05-01,6.83
1973-06-01,6.91
1973-07-01,7.10
1973-08-01,7.40
1973-09-01,7.09
1973-10-01,6.80
1973-11-01,6.73
1973-12-01,6.75
1974-01-01,6.98
1974-02-01,6.96
1974-03-01,7.17
1974-04-01,7.50
1974-05-01,7.58
1974-06-01,7.54
1974-07-01,7.79
1974-08-01,8.02
1974-09-01,8.05
1974-10-01,7.91
1974-11-01,7.71
1974-12-01,7.44
1975-01-01,7.49
1975-02-01,7.39
1975-03-01,7.73
1975-04-01,8.20
1975-05-01,8.09
1975-06-01,7.86
1975-07-01,8.04
1975-08-01,8.36
1975-09-01,8.42
1975-10-01,8.16
1975-11-01,8.05
1975-12-01,8.03
1976-01-01,7.74
1976-02-01,7.80
1976-03-01,7.75
1976-04-01,7.57
1976-05-01,7.90
1976-06-01,7.86
1976-07-01,7.84
1976-08-01,7.78
1976-09-01,7.62
1976-10-01,7.43
1976-11-01,7.33
1976-12-01,6.88
1977-01-01,7.20
1977-02-01,7.39
1977-03-01,7.46
1977-04-01,7.39
1977-05-01,7.46
1977-06-01,7.31
1977-07-01,7.31
1977-08-01,7.42
1977-09-01,7.33
1977-10-01,7.52
1977-11-01,7.59
1977-12-01,7.67
1978-01-01,7.95
1978-02-01,8.03
1978-03-01,8.03
1978-04-01,8.16
1978-05-01,8.34
1978-06-01,8.46
1978-07-01,8.65
1978-08-01,8.43
1978-09-01,8.41
1978-10-01,8.61
1978-11-01,8.81
1978-12-01,8.99
1979-01-01,9.12
1979-02-01,9.07
1979-03-01,9.12
1979-04-01,9.17
1979-05-01,9.28
1979-06-01,8.93
1979-07-01,8.94
1979-08-01,9.03
1979-09-01,9.34
1979-10-01,10.22
1979-11-01,10.68
1979-12-01,10.39
1980-01-01,10.69
1980-02-01,12.22
1980-03-01,12.76
1980-04-01,11.71
1980-05-01,10.24
1980-06-01,9.76
1980-07-01,10.17
1980-08-01,11.01
1980-09-01,11.45
1980-10-01,11.76
1980-11-01,12.68
1980-12-01,12.89
1981-01-01,12.53
1981-02-01,13.21
1981-03-01,13.11
1981-04-01,13.57
1981-05-01,14.06
1981-06-01,13.44
1981-07-01,14.22
1981-08-01,14.92
1981-09-01,15.27
1981-10-01,15.21
1981-11-01,13.43
1981-12-01,13.64
1982-01-01,14.49
1982-02-01,14.45
1982-03-01,13.82
1982-04-01,13.92
1982-05-01,13.62
1982-06-01,14.24
1982-07-01,14.04
1982-08-01,13.08
1982-09-01,12.50
1982-10-01,11.04
1982-11-01,10.52
1982-12-01,10.56
1983-01-01,10.44
1983-02-01,10.74
1983-03-01,10.47
1983-04-01,10.44
1983-05-01,10.36
1983-06-01,10.81
1983-07-01,11.32
1983-08-01,11.84
1983-09-01,11.69
1983-10-01,11.53
1983-11-01,11.71
1983-12-01,11.80
1984-01-01,11.68
1984-02-01,11.80
1984-03-01,12.29
1984-04-01,12.63
1984-05-01,13.30
1984-06-01,13.62
1984-07-01,13.42
1984-08-01,12.74
1984-09-01,12.54
1984-10-01,12.22
1984-11-01,11.61
1984-12-01,11.50
1985-01-01,11.45
1985-02-01,11.37
1985-03-01,11.85
1985-04-01,11.45
1985-05-01,10.88
1985-06-01,10.16
1985-07-01,10.25
1985-08-01,10.37
1985-09-01,10.37
1985-10-01,10.27
1985-11-01,9.83
1985-12-01,9.28
1986-01-01,9.17
1986-02-01,8.70
1986-03-01,7.79
1986-04-01,7.29
1986-05-01,7.68
1986-06-01,7.82
1986-07-01,7.28
1986-08-01,7.21
1986-09-01,7.43
1986-10-01,7.44
1986-11-01,7.25
1986-12-01,7.10
1987-01-01,7.10
1987-02-01,7.25
1987-03-01,7.22
1987-04-01,7.92
1987-05-01,8.56
1987-06-01,8.41
1987-07-01,8.44
1987-08-01,8.75
1987-09-01,9.37
1987-10-01,9.55
1987-11-01,8.86
1987-12-01,9.01
1988-01-01,8.70
1988-02-01,8.22
1988-03-01,8.33
1988-04-01,8.69
1988-05-01,9.08
1988-06-01,8.95
1988-07-01,9.02
1988-08-01,9.26
1988-09-01,9.01
1988-10-01,8.80
1988-11-01,8.93
1988-12-01,9.11
1989-01-01,9.10
1989-02-01,9.14
1989-03-01,9.36
1989-04-01,9.18
1989-05-01,8.89
1989-06-01,8.32
1989-07-01,8.03
1989-08-01,8.07
1989-09-01,8.20
1989-10-01,8.02
1989-11-01,7.88
1989-12-01,7.84
1990-01-01,8.16
1990-02-01,8.48
1990-03-01,8.57
1990-04-01,8.77
1990-05-01,8.79
1990-06-01,8.50
1990-07-01,8.48
1990-08-01,8.72
1990-09-01,8.89
1990-10-01,8.74
1990-11-01,8.42
1990-12-01,8.08
1991-01-01,8.09
1991-02-01,7.87
1991-03-01,8.09
1991-04-01,8.04
1991-05-01,8.07
1991-06-01,8.28
1991-07-01,8.28
1991-08-01,7.94
1991-09-01,7.67
1991-10-01,7.52
1991-11-01,7.43
1991-12-01,7.11
1992-01-01,7.00
1992-02-01,7.34
1992-03-01,7.55
1992-04-01,7.46
1992-05-01,7.42
1992-06-01,7.28
1992-07-01,6.88
1992-08-01,6.59
1992-09-01,6.43
1992-10-01,6.56
1992-11-01,6.87
1992-12-01,6.79
1993-01-01,6.62
1993-02-01,6.26
1993-03-01,5.97
1993-04-01,5.98
1993-05-01,6.04
1993-06-01,6.00
1993-07-01,5.81
1993-08-01,5.70
1993-09-01,5.37
1993-10-01,5.33
1993-11-01,5.72
1993-12-01,5.78
1994-01-01,5.76
1994-02-01,5.96
1994-03-01,6.42
1994-04-01,6.92
1994-05-01,7.18
1994-06-01,7.08
1994-07-01,7.29
1994-08-01,7.24
1994-09-01,7.42
1994-10-01,7.74
1994-11-01,7.96
1994-12-01,7.83
1995-01-01,7.80
1995-02-01,7.51
1995-03-01,7.21
1995-04-01,7.07
1995-05-01,6.67
1995-06-01,6.18
1995-07-01,6.26
1995-08-01,6.52
1995-09-01,6.22
1995-10-01,6.05
1995-11-01,5.96
1995-12-01,5.73
1996-01-01,5.65
1996-02-01,5.73
1996-03-01,6.24
1996-04-01,6.50
1996-05-01,6.73
1996-06-01,6.91
1996-07-01,6.87
1996-08-01,6.67
1996-09-01,6.85
1996-10-01,6.56
1996-11-01,6.24
1996-12-01,6.30
1997-01-01,6.56
1997-02-01,6.42
1997-03-01,6.69
1997-04-01,6.90
1997-05-01,6.72
1997-06-01,6.50
1997-07-01,6.27
1997-08-01,6.27
1997-09-01,6.23
1997-10-01,6.04
1997-11-01,5.88
1997-12-01,5.81
1998-01-01,5.58
1998-02-01,5.57
1998-03-01,5.64
1998-04-01,5.61
1998-05-01,5.67
1998-06-01,5.50
1998-07-01,5.46
1998-08-01,5.36
1998-09-01,4.86
1998-10-01,4.53
1998-11-01,4.83
1998-12-01,4.65
1999-01-01,4.72
1999-02-01,5.00
1999-03-01,5.23
1999-04-01,5.19
1999-05-01,5.54
1999-06-01,5.90
1999-07-01,5.81
1999-08-01,5.94
1999-09-01,5.93
1999-10-01,6.08
1999-11-01,6.02
1999-12-01,6.27
2000-01-01,6.67
2000-02-01,6.53
2000-03-01,6.27
2000-04-01,5.99
2000-05-01,6.45
2000-06-01,6.12
2000-07-01,6.05
2000-08-01,5.85
2000-09-01,5.79
2000-10-01,5.74
2000-11-01,5.75
2000-12-01,5.29
2001-01-01,5.14
2001-02-01,5.14
2001-03-01,4.90
2001-04-01,5.13
2001-05-01,5.37
2001-06-01,5.32
2001-07-01,5.26
2001-08-01,4.98
2001-09-01,4.74
2001-10-01,4.60
2001-11-01,4.64
2001-12-01,5.09
2002-01-01,5.04
2002-02-01,4.95
2002-03-01,5.22
2002-04-01,5.22
2002-05-01,5.16
2002-06-01,4.93
2002-07-01,4.67
2002-08-01,4.30
2002-09-01,3.89
2002-10-01,3.92
2002-11-01,4.04
2002-12-01,4.05
2003-01-01,4.02
2003-02-01,3.90
2003-03-01,3.81
2003-04-01,3.96
2003-05-01,3.60
2003-06-01,3.32
2003-07-01,3.85
2003-08-01,4.44
2003-09-01,4.31
2003-10-01,4.27
2003-11-01,4.30
2003-12-01,4.27
2004-01-01,4.17
2004-02-01,4.08
2004-03-01,3.82
2004-04-01,4.29
2004-05-01,4.71
2004-06-01,4.75
2004-07-01,4.52
2004-08-01,4.29
2004-09-01,4.15
2004-10-01,4.09
2004-11-01,4.18
2004-12-01,4.24
2005-01-01,4.23
2005-02-01,4.16
2005-03-01,4.48
2005-04-01,4.38
2005-05-01,4.15
2005-06-01,4.01
2005-07-01,4.14
2005-08-01,4.29
2005-09-01,4.19
2005-10-01,4.46
2005-11-01,4.55
2005-12-01,4.46
2006-01-01,4.40
2006-02-01,4.57
2006-03-01,4.71
2006-04-01,4.99
2006-05-01,5.11
2006-06-01,5.11
2006-07-01,5.10
2006-08-01,4.90
2006-09-01,4.73
2006-10-01,4.74
2006-11-01,4.62
2006-12-01,4.56
2007-01-01,4.74
2007-02-01,4.77
2007-03-01,4.57
2007-04-01,4.70
2007-05-01,4.72
2007-06-01,5.07
2007-07-01,5.03
2007-08-01,4.69
2007-09-01,4.52
2007-10-01,4.55
2007-11-01,4.18
2007-12-01,4.11
2008-01-01,3.77
2008-02-01,3.74
2008-03-01,3.51
2008-04-01,3.64
2008-05-01,3.88
2008-06-01,4.11
2008-07-01,4.00
2008-08-01,3.91
2008-09-01,3.68
2008-10-01,3.81
2008-11-01,3.52
2008-12-01,2.44
2009-01-01,2.47
2009-02-01,2.87
2009-03-01,2.83
2009-04-01,2.88
2009-05-01,3.27
2009-06-01,3.74
2009-07-01,3.56
2009-08-01,3.60
2009-09-01,3.42
2009-10-01,3.38
2009-11-01,3.42
2009-12-01,3.53
2010-01-01,3.75
2010-02-01,3.70
2010-03-01,3.71
2010-04-01,3.85
2010-05-01,3.42
2010-06-01,3.24
2010-07-01,3.01
2010-08-01,2.72
2010-09-01,2.66
2010-10-01,2.54
2010-11-01,2.76
2010-12-01,3.26
2011-01-01,3.40
2011-02-01,3.57
2011-03-01,3.40
2011-04-01,3.46
2011-05-01,3.17
2011-06-01,2.99
2011-07-01,3.02
2011-08-01,2.31
2011-09-01,2.01
2011-10-01,2.16
2011-11-01,2.02
2011-12-01,1.98
2012-01-01,1.98
2012-02-01,1.96
2012-03-01,2.14
2012-04-01,2.06
2012-05-01,1.83
2012-06-01,1.62
2012-07-01,1.53
2012-08-01,1.66
2012-09-01,1.72
2012-10-01,1.75
2012-11-01,1.66
2012-12-01,1.72
2013-01-01,1.89
2013-02-01,2.01
2013-03-01,1.94
2013-04-01,1.77
2013-05-01,1.92
2013-06-01,2.30
2013-07-01,2.58
2013-08-01,2.72
2013-09-01,2.82
2013-10-01,2.63
2013-11-01,2.69
2013-12-01,2.90
2014-01-01,2.88
2014-02-01,2.71
2014-03-01,2.72
2014-04-01,2.71
2014-05-01,2.57
2014-06-01,2.60
2014-07-01,2.55
2014-08-01,2.44
2014-09-01,2.54
2014-10-01,2.32
2014-11-01,2.33
2014-12-01,2.21
2015-01-01,1.93
2015-02-01,1.98
2015-03-01,2.05
2015-04-01,1.92
2015-05-01,2.16
2015-06-01,2.37
2015-07-01,2.33
2015-08-01,2.17
2015-09-01,2.19
2015-10-01,2.07
2015-11-01,2.27
2015-12-01,2.23
2016-01-01,2.16
